Date,Open,High,Low,Close,AdjustedClose,Volume,Dividend,Split
2014-07-07,126.9378,127.5236,125.631,125.8563,107.7478,416284,0.0,1.0
2014-07-08,126.1267,126.4872,124.7748,124.7748,106.8219,444400,0.0,1.0
2014-07-09,125.1804,125.9464,124.2792,125.7211,107.632,565701,0.0,1.0
2014-07-10,125.9014,127.3433,125.0001,125.5859,107.5163,792522,0.0,1.0
2014-07-11,125.8563,126.1717,124.7298,125.5859,107.5163,428508,0.0,1.0
2014-07-14,125.631,126.7125,125.2705,126.4872,108.2879,421097,0.0,1.0
2014-07-15,126.397,126.6223,124.6847,125.0001,107.0148,694928,0.0,1.0
2014-07-16,125.6761,126.3069,125.0903,126.1717,108.0178,497857,0.0,1.0
2014-07-17,125.6761,126.3069,124.6847,124.865,106.8991,570190,0.0,1.0
2014-07-18,124.4143,124.7298,122.9724,124.7298,106.7833,1019779,0.0,1.0
2014-07-21,124.5946,125.3156,123.7835,124.7748,106.8219,575549,0.0,1.0
2014-07-22,125.4057,125.631,124.2341,125.4958,107.4392,620547,0.0,1.0
2014-07-23,124.9551,126.1717,124.9551,125.9915,107.8635,579867,0.0,1.0
2014-07-24,126.6223,127.9291,125.3606,127.2983,108.9823,632668,0.0,1.0
2014-07-25,121.6656,121.6656,118.1508,118.6465,101.5753,2810499,0.0,1.0
2014-07-28,119.6378,119.728,118.0607,118.5564,101.4982,911123,0.0,1.0
2014-07-29,118.4212,119.5928,118.1959,118.6915,101.6139,740754,0.0,1.0
2014-07-30,118.8718,118.9619,116.9342,117.3848,100.4952,870287,0.0,1.0
2014-07-31,117.3397,117.565,115.5823,115.8977,99.2221,1253627,0.0,1.0
2014-08-01,116.3484,116.7539,114.7712,115.5823,98.952,972276,0.0,1.0
2014-08-04,116.2582,116.3484,114.4558,114.8613,98.3348,732755,0.0,1.0
2014-08-05,115.357,117.0693,114.9064,116.9342,100.1094,956175,0.0,1.0
2014-08-06,116.4385,117.0693,115.4021,116.6638,99.8779,667747,0.0,1.0
